#AOCI-CODE-VOLUME: 1

===/Users/kdongnmt.edu/Desktop/mind canvas/代码_mindcanvas/===
.gitattributes[FV4T]: F:强制全仓文本以LF检出，二进制自动识别不改写 | R:- | A:- | S:Windows autocrlf 重写换行会让 AOCI 基线整树 stale
assignment.ts[FB6S]: F:作业中心类型：作业、材料、Rubric 维度与等级、学生提交，以及状态、材料角色、解析状态三套标签常量 | R:code:web/src/pages/AssignmentDetailPage.tsx,code:web/src/utils/assignmentApi.ts,code:server/models/assignment.go | A:- | S:Rubric 的 criteria_json 是字符串，页面自己 JSON.parse 且失败按空数组兜底；三套标签常量都是全枚举 Record，后端多回一个新状态取到 undefined 会直接崩
canvas.ts[FD6T]: F:画布类型：变换、对应 room_elements 的 CanvasElement、Excalidraw appState 子集 | R:code:web/src/store/canvasStore.ts,code:web/src/store/roomStore.ts,code:web/src/hooks/useCanvasTransform.ts | A:- | S:CanvasElement.payload 是自由 JSONB，x/y/width/height 都藏在里面没有类型约束；ExcalidrawAppState 仅覆盖视口与工具子集，非完整 Excalidraw 类型
flow.ts[FW6S]: F:课堂流程类型：五种节点与三种进入模式的元数据、流程主体与学生端脱敏进度，并含 createDefaultNode | R:code:web/src/components/teacher/FlowEditor.tsx,code:web/src/components/teacher/FlowController.tsx,code:web/src/utils/flowApi.ts,code:server/models/flow.go | A:- | S:safeNodeId 已加降级：非 HTTPS 局域网无 crypto.randomUUID 时退化为时间戳+随机串（BUG-029），不再直接抛错；互动节点默认只读、8 分钟
group.ts[FB4T]: F:分组类型：Group 与自动分组请求响应（按组数或按每组人数两种模式） | R:code:web/src/utils/groupApi.ts,code:web/src/components/teacher/GroupPanel.tsx,code:server/models/group.go | A:- | S:leader_uuid 用空字符串表示无组长而非 null；members 存学生 guest_uuid
message.ts[FM5T]: F:WebSocket 消息结构 WSMessage（含 DropZone 广播扁平字段） | R:code:web/src/hooks/useWebSocket.ts,code:server/ws/message.go | A:- | S:WSMessage 把 element_id 等 DropZone 广播字段平铺在顶层，与 payload 并存；本文件不含常量表，分发处一律写字符串字面量
room.ts[FB7T]: F:房间类型：room_mode 三种展示形态与 collab_mode 三种协作形态（实名/匿名/团队）及其选项文案 | R:code:web/src/pages/DashboardPage.tsx,code:web/src/store/roomStore.ts,code:server/models/room.go,code:configs/018_room_collab_mode.sql | A:- | S:两个 mode 正交，建房弹窗只让选 collab_mode，room_mode 由后端默认 interactive；collab_mode 为 roster 时 class_id 必填；Room.finished_at 承担的是到期时间语义
token.ts[FB6S]: F:作业码与花名册类型：作业码、花名册条目与提交状态、验证结果、生成请求响应、学生侧补救内容与提交页状态机 | R:code:web/src/utils/tokenApi.ts,code:web/src/pages/SubmitPage.tsx,code:web/src/pages/AssignmentDetailPage.tsx,code:server/models/assignment_token.go | A:- | S:StudentRemediationPublic 只含温和版反馈与题面，教师版诊断与参考答案不在其中；SubmitPageStep 九个状态是提交页唯一的流转依据，加步骤必须同步改这里
user.ts[FI6T]: F:用户类型：三种角色、JWT 解析出的 AuthUser、登录请求与响应 | R:code:web/src/store/authStore.ts,code:web/src/hooks/useAuth.ts,code:server/models/user.go | A:- | S:superadmin 的 tenant_id 是空字符串而非 null；chat_enabled 与 agent_enabled 是两个独立开关，管理员分别开通
widget.ts[FE7S]: F:互动组件类型：注册中心的 WidgetProps 与 WidgetMeta、四种组件 payload、作品收集提交与消息 | R:code:web/src/registry/WidgetRegistry.ts,code:web/src/registry/widgetRegister.ts,code:web/src/components/canvas/FloatingWidgets.tsx | A:- | S:WidgetType 联合里没有协作墙与 HTML 展示，两者是按字符串注册的，加类型时别以为这里是全集；WidgetMeta.insertable 为 false 表示仍可渲染但不进插入工具栏

===/Users/kdongnmt.edu/Desktop/mind/web/src/utils/===
agentApi.ts[IA7S]: F:房间智能体调用层：SSE 流式对话、冷启动摘要、历史恢复 | R:code:server/handlers/agent_handler.go,code:web/src/components/canvas/AIWorkbench.tsx,code:server/services/agent_service.go | A:- | S:POST 用不了原生 EventSource，这里用 fetch 加 ReadableStream 手工按空行切 SSE 帧；streamAgentChat 从不抛错，所有失败都走 onError 回调；prime 与 history 失败静默返回空，不拦住老师提问
assignmentApi.ts[IB8M]: F:作业中心调用层：作业 CRUD、材料上传解析、Rubric、提交列表、讲评报告与内容块、推荐练习、学生补救 | R:code:web/src/pages/AssignmentDetailPage.tsx,code:server/handlers/assignment_handler.go,code:server/handlers/lecture_handler.go,code:server/handlers/recommendation_handler.go,code:server/handlers/remediation_handler.go,code:web/src/types/assignment.ts | A:- | S:LectureReport 与 LectureReportBlock 定义在本文件而不是 types 目录，lectureExport 也从这里取类型；本文件的 getStudentRemediation 是教师视角按 studentUUID 取全量，与 tokenApi 里同名函数（学生凭 token 加 uuid 取温和版）不是一个接口，别混用
canvasHandoff.ts[CB6T]: F:作业详情页到房间页的「插入画布」跨页交接：暂存与一次性取出 | R:code:web/src/pages/AssignmentDetailPage.tsx,code:web/src/pages/RoomPage.tsx | A:- | S:用 sessionStorage 而非 URL 参数；取出即删只消费一次，刷新房间页不会重复插入；超过 5 分钟或 roomId 不匹配一律丢弃；隐私模式下写入失败返回 false 由调用方提示
classApi.ts[IB6T]: F:班级与花名册调用层：建班列班删班、花名册增删与粘名批量导入 | R:code:server/handlers/class_handler.go,code:web/src/pages/ClassesPage.tsx,code:web/src/pages/DashboardPage.tsx | A:- | S:响应统一包在 data 字段里，与其他 api 工具的裸字段不同；归属由后端 SQL 保证，前端不再按 teacher_id 过滤
constants.ts[FG7S]: F:前端常量：API 与 WS 路径、头像表、WebSocket 重连参数、文件限制、画布与场控配置、卡片色与元素类型 | R:code:web/src/hooks/useWebSocket.ts,code:web/src/pages/JoinPage.tsx,code:web/src/components/canvas/FloatingWidgets.tsx | A:- | S:FILE_LIMITS/IMAGE_MIMES 已被 useImageUpload 与 DropZoneWidget 接入统一为 10MB；CONTROL_CONFIG 被 ControlPanel、WS_BASE 被 useWebSocket 引用；DOC_MIMES/REACTIONS/CANVAS_CONFIG 仍零引用
diagramApi.ts[IA6T]: F:AI 图形生成调用层：生成图形与回报老师后续动作 | R:code:server/handlers/diagram_handler.go,code:web/src/utils/diagramBuilder.ts,code:web/src/components/canvas/AIWorkbench.tsx | A:- | S:reportDiagramOutcome 不 await 不抛错、失败静默，埋点绝不打断上课；没有 generation_id 直接跳过，本地直转的图因此天然不上报；inserted 是中性动作零区分度，真判据是后端观测的存活率
diagramBuilder.ts[KA9L]: F:AI 图形布局引擎：把节点边结构转成 Excalidraw 元素，支持思维导图、流程图、时间轴、组织架构、鱼骨五种，含主题表与画框 | R:code:web/src/utils/diagramApi.ts,code:web/src/utils/markdownToDiagram.ts,code:web/src/utils/diagramExport.ts,code:web/src/components/canvas/AIWorkbench.tsx,code:server/handlers/diagram_validate.go | A:- | S:文字宽度靠估算不靠真实度量，系数刻意放大（CJK 1.12、ASCII 0.66）并且宽高共用——估窄了容器会被渲染时撑高、压到下方兄弟节点，估宽了只是多点留白，两种错法代价不对称；折行必须逐字累加模拟，用总宽除以行宽会漏掉行末余量、实测 41 节点里 7 个少算一行；主题键存 localStorage 的 mc_diagram_theme
diagramExport.ts[AA6S]: F:单张 AI 图形的独立导出：Markdown 原文、PNG、SVG、A4 横向单页 PDF | R:code:web/src/utils/diagramBuilder.ts,code:web/src/components/canvas/AIWorkbench.tsx | A:- | S:导出用的元素由 buildDiagramElements 从原点重建，与该图当前在画布上的位置和用户后续拖动无关；PDF 前先把画布最大边压到 2400px 控内存；jsPDF 是本项目唯一为此新增的依赖
flowApi.ts[IW6T]: F:课堂流程调用层：流程增删改、开始上课、推进节点、结束、进度可见性，以及学生端公开进度 | R:code:server/handlers/flow_handler.go,code:web/src/types/flow.ts,code:web/src/components/teacher/FlowController.tsx,code:web/src/components/teacher/FlowEditor.tsx | A:- | S:updateFlow 是全量覆盖不是增量补丁；getStudentProgress 走公开接口无需登录，返回的是脱敏后的节点
groupApi.ts[IB5T]: F:分组调用层：列出、创建、修改、删除小组与按组数或每组人数自动分组 | R:code:server/handlers/room_handler.go,code:web/src/types/group.ts,code:web/src/components/teacher/GroupPanel.tsx | A:- | S:updateGroup 是 PATCH 局部更新，members 一旦传入即整表替换而非追加
lectureExport.ts[AB6M]: F:讲评报告导出：整份报告转 Markdown 并下载，或新开窗口渲染打印样式让用户存为 PDF | R:code:web/src/utils/assignmentApi.ts,code:web/src/pages/AssignmentDetailPage.tsx,code:server/services/lecture_prompt.go | A:- | S:打印走独立新窗口而非全局 @media print，因此被浏览器拦截弹窗时 printReport 返回 false，调用方必须据此提示；未知块类型走通用兜底按 key 输出，新增块类型不会漏内容
markdownToDiagram.ts[KA8M]: F:结构化 Markdown 到图形结构的确定性直转：大纲解析、树节点生成、结构化判定与层级塌陷检测 | R:code:web/src/utils/diagramBuilder.ts,code:web/src/utils/diagramApi.ts,code:web/src/components/canvas/AIWorkbench.tsx | A:- | S:只对思维导图与组织架构开放，另外三种故意不直转：流程图判不出哪句是判断，时间轴与鱼骨在 builder 里会静默丢深层节点；structured 判据只要求三条以上且出现两种层级，把小标题写成普通文字的文档照样通过，故另有塌陷检测按最大兄弟组 12 个且占比 0.4 双条件提示；输出结构上保证单根、无环、父先于子
parseFileApi.ts[IA6T]: F:AI 工作台文件解析调用层：上传文件换回 Markdown 与字数耗时统计 | R:code:server/handlers/parse_file_handler.go,code:web/src/components/canvas/AIWorkbench.tsx | A:- | S:前端先卡 20MB 与后端 maxParseFileSize 对齐；multipart 不手动设 Content-Type，交给浏览器带 boundary；扫描件走 OCR 时会回 page_count 与 ocr_pages 两个页数
refineApi.ts[IA5T]: F:文本提炼调用层：普通文本转 Markdown，供生成图形前的可选预处理 | R:code:server/handlers/refine_handler.go,code:web/src/components/canvas/AIWorkbench.tsx | A:- | S:被上游 max_tokens 截断时仍返回 200 且内容通顺，只靠 truncated 与 warning 两个字段区分，调用方不显式提示老师就无从察觉少了内容
roomApi.ts[IB4T]: F:课堂房间列表调用层，供作业关联课堂的下拉数据源 | R:code:server/handlers/room_handler.go,code:web/src/pages/AssignmentPage.tsx,code:web/src/pages/AssignmentDetailPage.tsx | A:- | S:后端对 teacher 角色已按 teacher_id 过滤，前端不再筛
tokenApi.ts[IB8S]: F:作业码与花名册调用层：教师端生成导出作业码、花名册增删导入与课堂同步，学生端验码提交与取反馈 | R:code:server/handlers/token_handler.go,code:web/src/pages/AssignmentDetailPage.tsx,code:web/src/pages/SubmitPage.tsx,code:web/src/types/token.ts | A:- | S:verifyToken 失败不抛错而返回 valid:false，调用方须判该字段；学生端接口不带 credentials，身份靠作业码与 uuid；exportTokensCSV 用 window.open 会被弹窗拦截；getStudentRemediation 与 importRosterCSVFile 为当前实际导出名，无 getStudentResult/importRosterJSON
eyeCareMode.ts[FG4T]: F:护眼模式工具函数：读取/持久化 localStorage 偏好并切换 <html> 上的 eye-care-mode 类名 | R:code:web/src/index.css,code:web/src/App.tsx | A:- | S:纯前端 UI 偏好不经后端；localStorage 读写失败时静默降级为关闭，不抛错
wsContracts.ts[CN6T]: F:WebSocket 消息契约纯函数：extractSyncedRoom 取房间对象，interpretWidgetUpdate/buildWidgetErrorDetail 决定 widget_update/widget_error 如何处理 | R:code:web/src/hooks/useWebSocket.ts,code:web/src/pages/RoomPage.tsx,code:contracts/room_sync.json,code:contracts/widget_update.json | A:extractSyncedRoom(msg),interpretWidgetUpdate(msg,selfUuid),buildWidgetErrorDetail(msg) | S:room 优先读顶层 msg.room；widget_update 的 payload 须原样交 store 不可再包层；仅 from 等于本人才确认提交，否则全房间组件被标已提交

===/Users/kdongnmt.edu/Desktop/mind/contracts/===
room_sync.json[FN6T]: F:Go 与前端共用的 room_sync 消息样例，两端契约测试都读它 | R:code:server/handlers/ws_room_sync.go,code:web/src/utils/wsContracts.ts,code:.github/workflows/ci.yml | A:- | S:room 必须在消息顶层且没有 payload 层；服务端 room_sync 增删字段必须同步改本文件，否则 Go 与前端两边契约测试同时变红
widget_update.json[FN6T]: F:Go 与前端共用的 widget_update 消息样例，服务端广播字段集与前端处理都按它校验 | R:code:server/handlers/ws_handler.go,code:web/src/utils/wsContracts.ts,code:web/src/hooks/useWebSocket.ts | A:- | S:payload 必须两层（x/y/width/height + 内层 payload）；服务端广播增删字段须同步改本文件，否则 Go 与前端契约测试至少一侧变红
